hour,total_kWh,session_count,avg_kWh,max_kWh,min_kWh,avg_session_hrs,hour_of_day,day_of_week,month,day_of_month,week_of_year,is_weekend,is_business_hours,quarter,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,kWh_lag_1h,kWh_lag_2h,kWh_lag_3h,kWh_lag_6h,kWh_lag_12h,kWh_lag_24h,kWh_lag_48h,kWh_lag_168h,kWh_rolling_mean_3h,kWh_rolling_std_3h,kWh_rolling_mean_6h,kWh_rolling_std_6h,kWh_rolling_mean_12h,kWh_rolling_std_12h,kWh_rolling_mean_24h,kWh_rolling_std_24h,kWh_rolling_mean_48h,kWh_rolling_std_48h,kWh_rolling_mean_168h,kWh_rolling_std_168h,kWh_diff_1h,kWh_diff_24h,kWh_diff_168h,kWh_expanding_mean,kWh_per_session,demand_intensity
2018-05-02 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,11,2,5,2,18,0,1,2,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,20.121444444444446,6.661,0.0,0.0,7.932,0.0,0.0,9.257444444444445,10.1917977546458,14.856305555555556,13.284325688876214,21.59890277777778,28.570806524461275,19.50790621530139,24.603825440473756,18.03462457651159,20.656031975520268,0.0,0.0,-7.932,18.03462457651159,0.0,0.0
2018-05-02 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,12,2,5,2,18,0,1,2,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,18.51488888888889,3.523,0.0,0.0,11.600999999999999,0.0,0.0,5.90387037037037,9.160335524184466,14.301222222222222,13.787529842108244,21.59890277777778,28.570806524461275,19.50790621530139,24.603825440473756,17.987410290797307,20.688302238898487,0.0,0.0,-11.600999999999999,17.927910821620987,0.0,0.0
2018-05-02 13:00:00+00:00,7.269,2.0,3.6345,4.053,3.216,0.85375,13,2,5,2,18,0,1,2,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,16.908333333333335,36.979,22.028,13.593,15.27,0.0,0.0,2.818055555555556,6.902798177926332,14.007638888888886,14.072462985664023,21.59890277777778,28.570806524461275,19.50790621530139,24.603825440473756,17.918356719368735,20.72906728193095,7.269,-14.758999999999999,-8.001,17.822452522670275,3.6345,7.269
2018-05-02 14:00:00+00:00,52.634,5.0,10.5268,13.985,7.312,8.419444444444444,14,2,5,2,18,0,1,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,7.269,0.0,0.0,0.0,37.178,20.883,10.81,45.453,2.4229999999999907,4.19675910673939,1.2115,2.96755682338182,11.531805555555556,12.145126870687939,20.983944444444443,28.71961796152842,19.37615621530139,24.65305563865384,17.870731719368735,20.744373803423795,45.365,31.751,7.180999999999997,17.760736426046474,10.5268,52.634
2018-05-02 15:00:00+00:00,137.899,16.0,8.6186875,19.163,2.713,7.893420138888889,15,2,5,2,18,0,1,2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,52.634,7.269,0.0,0.0,16.662,63.065,79.92,69.505,19.967666666666656,28.522387528629743,9.983833333333333,21.09556706435422,12.819805555555556,15.475202875517967,22.30690277777778,29.43710248437489,20.24748954863472,25.079278831265725,17.913475766987784,20.80884582513557,85.265,74.834,68.394,17.963487958453182,8.6186875,137.899
2018-05-02 16:00:00+00:00,67.332,8.0,8.4165,16.008,4.426,7.819166666666667,16,2,5,2,18,0,1,2,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,137.899,52.634,7.269,0.0,21.728,133.542,47.603,65.69,65.93399999999998,66.32282205244286,32.967,55.350468803796055,22.922888888888888,39.35788687863038,25.42498611111111,36.94735435867556,21.455385381968057,29.0899695625771,18.320582909844923,22.43011018294188,-70.56700000000001,-66.21000000000001,1.641999999999996,18.656756814184664,8.4165,67.332
2018-05-02 17:00:00+00:00,13.422,1.0,13.422,13.422,13.422,3.97,17,2,5,2,18,0,1,2,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,67.332,137.899,52.634,0.0,20.121444444444446,44.425,61.11,5.07,85.95499999999998,45.58116006641341,44.189,54.142224586730826,26.723222222222223,41.381711863126,22.666236111111107,30.418610684737065,21.866406215301385,29.602147154263523,18.330356719368734,22.451222581421323,-53.91,-31.002999999999997,8.352,18.93649959111464,13.422,13.422
2018-05-02 18:00:00+00:00,5.176,2.0,2.588,3.145,2.031,8.56263888888889,18,2,5,2,18,0,1,2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,13.422,67.332,137.899,0.0,18.51488888888889,11.904,0.5860127778,2.375,72.88433333333332,62.42397124769726,46.425999999999995,52.1935206131949,26.164935185185186,41.52382194020429,21.374444444444446,30.111153376336272,20.872906215301388,29.0521778485275,18.380071005083018,22.430921867581304,-8.246,-6.728,2.801,18.904988164879697,2.588,5.176
2018-05-02 19:00:00+00:00,13.524,2.0,6.762,9.664,3.86,3.043611111111111,19,2,5,2,18,0,0,2,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,5.176,13.422,67.332,7.269,16.908333333333335,16.622,10.74,43.732,28.64333333333332,33.758092738383986,47.288666666666664,51.307975659410566,25.053361111111112,41.92383863252537,21.09411111111111,30.23422335828007,20.96853094909722,28.99147368311358,18.396743624130636,22.419992577300405,8.347999999999999,-3.0980000000000008,-30.208,18.826982550306518,6.762,0.0
2018-05-02 20:00:00+00:00,16.145,2.0,8.0725,11.344,4.801,5.846527777777778,20,2,5,2,18,0,0,2,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,13.524,5.176,13.422,52.634,0.0,10.484,9.417,5.018,10.707333333333324,4.790546663308252,48.33116666666666,50.38749842735465,24.77133333333333,41.99493575168175,20.965027777777777,30.260748670355884,21.02653094909722,28.9733543768007,18.216934100321115,22.336565433432575,2.6210000000000004,5.661,11.126999999999999,18.797022196914956,8.0725,0.0
